gene,term
ALG13,KEGG_N_GLYCAN_BIOSYNTHESIS
DOLPP1,KEGG_N_GLYCAN_BIOSYNTHESIS
RPN1,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG14,KEGG_N_GLYCAN_BIOSYNTHESIS
MAN1B1,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG3,KEGG_N_GLYCAN_BIOSYNTHESIS
B4GALT1,KEGG_N_GLYCAN_BIOSYNTHESIS
MGAT5,KEGG_N_GLYCAN_BIOSYNTHESIS
RPN2,KEGG_N_GLYCAN_BIOSYNTHESIS
STT3A,KEGG_N_GLYCAN_BIOSYNTHESIS
MGAT3,KEGG_N_GLYCAN_BIOSYNTHESIS
DAD1,KEGG_N_GLYCAN_BIOSYNTHESIS
MGAT2,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG12,KEGG_N_GLYCAN_BIOSYNTHESIS
TUSC3,KEGG_N_GLYCAN_BIOSYNTHESIS
MAN1C1,KEGG_N_GLYCAN_BIOSYNTHESIS
DPM2,KEGG_N_GLYCAN_BIOSYNTHESIS
DPM1,KEGG_N_GLYCAN_BIOSYNTHESIS
GANAB,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG1,KEGG_N_GLYCAN_BIOSYNTHESIS
MGAT4A,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG10B,KEGG_N_GLYCAN_BIOSYNTHESIS
STT3B,KEGG_N_GLYCAN_BIOSYNTHESIS
MAN1A2,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG10,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG11,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG8,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG2,KEGG_N_GLYCAN_BIOSYNTHESIS
DPAGT1,KEGG_N_GLYCAN_BIOSYNTHESIS
RFT1,KEGG_N_GLYCAN_BIOSYNTHESIS
DPM3,KEGG_N_GLYCAN_BIOSYNTHESIS
DDOST,KEGG_N_GLYCAN_BIOSYNTHESIS
MGAT4B,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG6,KEGG_N_GLYCAN_BIOSYNTHESIS
MAN2A2,KEGG_N_GLYCAN_BIOSYNTHESIS
MAN1A1,KEGG_N_GLYCAN_BIOSYNTHESIS
MAN2A1,KEGG_N_GLYCAN_BIOSYNTHESIS
ST6GAL1,KEGG_N_GLYCAN_BIOSYNTHESIS
B4GALT3,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG5,KEGG_N_GLYCAN_BIOSYNTHESIS
B4GALT2,KEGG_N_GLYCAN_BIOSYNTHESIS
MGAT5B,KEGG_N_GLYCAN_BIOSYNTHESIS
ALG9,KEGG_N_GLYCAN_BIOSYNTHESIS
MOGS,KEGG_N_GLYCAN_BIOSYNTHESIS
FUT8,KEGG_N_GLYCAN_BIOSYNTHESIS
MGAT1,KEGG_N_GLYCAN_BIOSYNTHESIS
ENGASE,KEGG_OTHER_GLYCAN_DEGRADATION
GLB1,KEGG_OTHER_GLYCAN_DEGRADATION
MANBA,KEGG_OTHER_GLYCAN_DEGRADATION
MAN2B1,KEGG_OTHER_GLYCAN_DEGRADATION
GBA,KEGG_OTHER_GLYCAN_DEGRADATION
NEU4,KEGG_OTHER_GLYCAN_DEGRADATION
NEU2,KEGG_OTHER_GLYCAN_DEGRADATION
NEU1,KEGG_OTHER_GLYCAN_DEGRADATION
FUCA1,KEGG_OTHER_GLYCAN_DEGRADATION
FUCA2,KEGG_OTHER_GLYCAN_DEGRADATION
AGA,KEGG_OTHER_GLYCAN_DEGRADATION
MAN2C1,KEGG_OTHER_GLYCAN_DEGRADATION
MAN2B2,KEGG_OTHER_GLYCAN_DEGRADATION
NEU3,KEGG_OTHER_GLYCAN_DEGRADATION
HEXB,KEGG_OTHER_GLYCAN_DEGRADATION
HEXA,KEGG_OTHER_GLYCAN_DEGRADATION
GALNT4,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT15,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNTL5,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT6,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT5,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT16,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNTL6,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT13,KEGG_O_GLYCAN_BIOSYNTHESIS
GCNT3,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT10,KEGG_O_GLYCAN_BIOSYNTHESIS
ST6GALNAC1,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT9,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT7,KEGG_O_GLYCAN_BIOSYNTHESIS
GCNT4,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT11,KEGG_O_GLYCAN_BIOSYNTHESIS
GCNT1,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT8,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT14,KEGG_O_GLYCAN_BIOSYNTHESIS
B3GNT6,KEGG_O_GLYCAN_BIOSYNTHESIS
C1GALT1,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT18,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT12,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT2,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT3,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT17,KEGG_O_GLYCAN_BIOSYNTHESIS
GALNT1,KEGG_O_GLYCAN_BIOSYNTHESIS
ST3GAL2,KEGG_O_GLYCAN_BIOSYNTHESIS
ST3GAL1,KEGG_O_GLYCAN_BIOSYNTHESIS
B4GALT5,KEGG_O_GLYCAN_BIOSYNTHESIS
C1GALT1C1,KEGG_O_GLYCAN_BIOSYNTHESIS
HS3ST3A1,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HPSE,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HPSE2,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
GLB1,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
GUSB,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HYAL3,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
GNS,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HYAL4,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HYAL1,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HYAL2,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
SPAM1,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HGSNAT,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
GALNS,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
IDUA,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HS3ST3B1,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
SGSH,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HEXB,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
"NAGLU",KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HEXA,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
IDS,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
ARSB,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
CHST2,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
B4GAT1,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
