good_HMDB_id,legacy_HMDB_id
HMDB0000283,HMDB0012194
HMDB0000285,HMDB00285
HMDB0000286,HMDB00286
HMDB0000288,HMDB00288
HMDB0000289,HMDB00289
HMDB0000290,HMDB00290
HMDB0000291,HMDB00291
HMDB0000292,HMDB00292
HMDB0000293,HMDB00293
HMDB0000294,HMDB00294
HMDB0000295,HMDB00295
HMDB0000296,HMDB00296
HMDB0000299,HMDB00299
HMDB0000300,HMDB00300
HMDB0000301,HMDB0002280
HMDB0000302,HMDB00302
HMDB0000303,HMDB00303
HMDB0000304,HMDB00304
HMDB0000305,HMDB00305
HMDB0000306,HMDB00306
HMDB0000307,HMDB00307
HMDB0000308,HMDB00308
HMDB0000309,HMDB00309
HMDB0000310,HMDB00310
HMDB0000311,HMDB00311
HMDB0000312,HMDB00312
HMDB0000313,HMDB00313
HMDB0000314,HMDB00314
HMDB0000315,HMDB00315
HMDB0000316,HMDB00316
HMDB0000317,HMDB00317
HMDB0000318,HMDB0005870
HMDB0000319,HMDB00319
HMDB0000320,HMDB00320
HMDB0000321,HMDB00321
HMDB0000322,HMDB00322
HMDB0000323,HMDB00323
HMDB0000324,HMDB0000388
HMDB0000325,HMDB00325
HMDB0000326,HMDB00326
HMDB0000328,HMDB00328
HMDB0000329,HMDB00329
HMDB0000330,HMDB00330
HMDB0000331,HMDB00331
HMDB0000332,HMDB00332
HMDB0000333,HMDB00333
HMDB0000335,HMDB00335
HMDB0000336,HMDB00336
HMDB0000337,HMDB0006118
HMDB0000338,HMDB0003962
HMDB0000339,HMDB00339
HMDB0000340,HMDB00340
HMDB0000341,HMDB00341
HMDB0000343,HMDB00343
HMDB0000344,HMDB00344
HMDB0000345,HMDB00345
HMDB0000346,HMDB00346
HMDB0000347,HMDB00347
HMDB0000348,HMDB00348
HMDB0000349,HMDB0002475
HMDB0000350,HMDB0002534
HMDB0000351,HMDB00351
HMDB0000352,HMDB00352
HMDB0000353,HMDB00353
HMDB0000354,HMDB0000420
HMDB0000355,HMDB00355
HMDB0000356,HMDB00356
HMDB0000359,HMDB0001974
HMDB0000360,HMDB00360
HMDB0000361,HMDB00361
HMDB0000362,HMDB00362
HMDB0000363,HMDB00363
HMDB0000364,HMDB0006053
HMDB0000365,HMDB00365
HMDB0000366,HMDB00366
HMDB0000367,HMDB00367
HMDB0000368,HMDB00368
HMDB0000369,HMDB00369
HMDB0000370,HMDB00370
HMDB0000371,HMDB00371
HMDB0000372,HMDB00372
HMDB0000374,HMDB00374
HMDB0000375,HMDB00375
HMDB0000376,HMDB00376
HMDB0000377,HMDB00377
HMDB0000378,HMDB0001963
HMDB0000379,HMDB0003610
HMDB0000380,HMDB00380
HMDB0000381,HMDB00381
HMDB0000383,HMDB00383
HMDB0000384,HMDB00384
HMDB0000385,HMDB00385
HMDB0000387,HMDB00387
HMDB0000389,HMDB00389
HMDB0000390,HMDB00390
HMDB0000391,HMDB00391
HMDB0000392,HMDB00392
HMDB0000393,HMDB00393
HMDB0000394,HMDB00394
HMDB0000395,HMDB00395
HMDB0000396,HMDB0002321
HMDB0000397,HMDB00397
HMDB0000398,HMDB00398
HMDB0000399,HMDB0000342
HMDB0000400,HMDB00400
HMDB0000401,HMDB00401
HMDB0000402,HMDB00402
HMDB0000403,HMDB00403
HMDB0000404,HMDB00404
HMDB0000405,HMDB00405
HMDB0000406,HMDB00406
HMDB0000407,HMDB00407
HMDB0000408,HMDB00408
HMDB0000409,HMDB00409
HMDB0000410,HMDB00410
HMDB0000411,HMDB00411
HMDB0000412,HMDB00412
HMDB0000413,HMDB00413
HMDB0000414,HMDB00414
HMDB0000415,HMDB00415
HMDB0000416,HMDB00416
HMDB0000417,HMDB00417
HMDB0000418,HMDB00418
HMDB0000419,HMDB00419
HMDB0000421,HMDB00421
HMDB0000422,HMDB00422
HMDB0000423,HMDB00423
HMDB0000424,HMDB00424
HMDB0000425,HMDB00425
HMDB0000426,HMDB00426
HMDB0000427,HMDB00427
HMDB0000428,HMDB00428
HMDB0000429,HMDB00429
HMDB0000430,HMDB00430
HMDB0000431,HMDB00431
HMDB0000432,HMDB00432
HMDB0000433,HMDB00433
HMDB0000434,HMDB00434
HMDB0000437,HMDB00437
HMDB0000438,HMDB00438
HMDB0000439,HMDB00439
HMDB0000440,HMDB00440
HMDB0000442,HMDB0000758
HMDB0000444,HMDB00444
HMDB0000445,HMDB00445
HMDB0000446,HMDB00446
HMDB0000447,HMDB00447
HMDB0000448,HMDB0004862
HMDB0000449,HMDB00449
HMDB0000450,HMDB0006827
HMDB0000451,HMDB00451
HMDB0000452,HMDB0000581
HMDB0000453,HMDB00453
HMDB0000455,HMDB00455
HMDB0000458,HMDB00458
HMDB0000459,HMDB00459
HMDB0000460,HMDB00460
HMDB0000462,HMDB00462
HMDB0000464,HMDB00464
HMDB0000466,HMDB00466
HMDB0000467,HMDB00467
HMDB0000468,HMDB00468
HMDB0000469,HMDB00469
HMDB0000472,HMDB0000504
HMDB0000473,HMDB00473
HMDB0000474,HMDB00474
HMDB0000476,HMDB00476
HMDB0000477,HMDB00477
HMDB0000478,HMDB00478
HMDB0000479,HMDB00479
HMDB0000481,HMDB00481
HMDB0000482,HMDB00482
HMDB0000483,HMDB00483
HMDB0000484,HMDB00484
HMDB0000486,HMDB00486
HMDB0000488,HMDB00488
HMDB0000489,HMDB0001515
HMDB0000490,HMDB00490
HMDB0000491,HMDB0001962
HMDB0000492,HMDB0002073
HMDB0000493,HMDB00493
HMDB0000494,HMDB00494
HMDB0000495,HMDB00495
HMDB0000496,HMDB00496
HMDB0000497,HMDB00497
HMDB0000498,HMDB00498
HMDB0000499,HMDB00499
HMDB0000500,HMDB00500
HMDB0000501,HMDB00501
HMDB0000502,HMDB00502
HMDB0000503,HMDB00503
HMDB0000505,HMDB00505
HMDB0000506,HMDB00506
HMDB0000508,HMDB00508
HMDB0000509,HMDB00509
HMDB0000510,HMDB00510
HMDB0000511,HMDB00511
HMDB0000512,HMDB00512
HMDB0000513,HMDB0000519
HMDB0000514,HMDB00514
HMDB0000517,HMDB00517
HMDB0000518,HMDB00518
HMDB0000520,HMDB00520
HMDB0000521,HMDB00521
HMDB0000522,HMDB00522
HMDB0000523,HMDB00523
HMDB0000524,HMDB0000655
HMDB0000525,HMDB00525
HMDB0000526,HMDB00526
HMDB0000527,HMDB00527
HMDB0000528,HMDB0011746
HMDB0000529,HMDB00529
HMDB0000530,HMDB00530
HMDB0000531,HMDB00531
HMDB0000532,HMDB00532
HMDB0000534,HMDB00534
HMDB0000535,HMDB00535
HMDB0000536,HMDB0001332
HMDB0000538,HMDB00538
HMDB0000539,HMDB00539
HMDB0000540,HMDB00540
HMDB0000541,HMDB00541
HMDB0000542,HMDB00542
HMDB0000543,HMDB00543
HMDB0000544,HMDB00544
HMDB0000545,HMDB00545
HMDB0000546,HMDB00546
HMDB0000547,HMDB00547
HMDB0000548,HMDB00548
HMDB0000549,HMDB00549
HMDB0000550,HMDB00550
HMDB0000551,HMDB00551
HMDB0000552,HMDB00552
HMDB0000553,HMDB00553
HMDB0000554,HMDB00554
HMDB0000555,HMDB00555
HMDB0000556,HMDB00556
HMDB0000557,HMDB0002291
HMDB0000558,HMDB00558
HMDB0000559,HMDB00559
HMDB0000560,HMDB0039129
HMDB0000561,HMDB00561
HMDB0000562,HMDB00562
HMDB0000563,HMDB00563
HMDB0000564,HMDB0000804
HMDB0000565,HMDB00565
HMDB0000567,HMDB00567
HMDB0000568,HMDB00568
HMDB0000569,HMDB00569
HMDB0000570,HMDB00570
HMDB0000572,HMDB00572
HMDB0000573,HMDB00573
HMDB0000574,HMDB00574
HMDB0000575,HMDB00575
HMDB0000576,HMDB00576
HMDB0000577,HMDB00577
HMDB0000579,HMDB00579
HMDB0000580,HMDB0000591
HMDB0000582,HMDB0000627
HMDB0000583,HMDB00583
HMDB0000585,HMDB00585
HMDB0000586,HMDB00586
HMDB0000588,HMDB00588
HMDB0000590,HMDB00590
HMDB0000592,HMDB00592
HMDB0000593,HMDB0008104
HMDB0000594,HMDB0029562
HMDB0000595,HMDB0003538
HMDB0000596,HMDB00596
HMDB0000598,HMDB0031433
HMDB0000599,HMDB00599
HMDB0000600,HMDB00600
HMDB0000601,HMDB0003873
HMDB0000603,HMDB00603
HMDB0000606,HMDB0002323
HMDB0000607,HMDB0014263
HMDB0000608,HMDB00608
HMDB0000609,HMDB00609
HMDB0000610,HMDB0005192
HMDB0000611,HMDB00611
HMDB0000613,HMDB00613
HMDB0000614,HMDB00614
HMDB0000617,HMDB00617
HMDB0000618,HMDB0002033
HMDB0000619,HMDB00619
HMDB0000620,HMDB0001657
HMDB0000621,HMDB00621
HMDB0000622,HMDB00622
HMDB0000623,HMDB00623
HMDB0000624,HMDB00624
HMDB0000625,HMDB0003373
HMDB0000626,HMDB00626
HMDB0000628,HMDB00628
HMDB0000629,HMDB0006277
HMDB0000630,HMDB00630
HMDB0000631,HMDB0004012
HMDB0000632,HMDB0006265
HMDB0000633,HMDB00633
HMDB0000634,HMDB00634
HMDB0000635,HMDB00635
HMDB0000637,HMDB0004013
HMDB0000638,HMDB00638
HMDB0000639,HMDB0003435
HMDB0000640,HMDB00640
HMDB0000641,HMDB00641
HMDB0000642,HMDB00642
HMDB0000643,HMDB00643
HMDB0000644,HMDB00644
HMDB0000645,HMDB0003359
HMDB0000646,HMDB0000487
HMDB0000648,HMDB00648
HMDB0000649,HMDB00649
HMDB0000650,HMDB00650
HMDB0000651,HMDB0062631
HMDB0000652,HMDB00652
HMDB0000653,HMDB00653
HMDB0000656,HMDB00656
HMDB0000657,HMDB00657
HMDB0000658,HMDB0005197
HMDB0000659,HMDB00659
HMDB0000660,HMDB00660
HMDB0000661,HMDB00661
HMDB0000662,HMDB00662
HMDB0000664,HMDB00664
HMDB0000665,HMDB00665
HMDB0000666,HMDB00666
HMDB0000667,HMDB00667
HMDB0000668,HMDB00668
HMDB0000669,HMDB00669
HMDB0000670,HMDB00670
HMDB0000671,HMDB00671
HMDB0000672,HMDB00672
HMDB0000673,HMDB00673
HMDB0000674,HMDB0007857
HMDB0000675,HMDB00675
HMDB0000676,HMDB00676
HMDB0000678,HMDB00678
HMDB0000679,HMDB00679
HMDB0000682,HMDB0003309
HMDB0000683,HMDB00683
HMDB0000684,HMDB0000183
HMDB0000686,HMDB00686
HMDB0000687,HMDB00687
HMDB0000688,HMDB00688
HMDB0000689,HMDB00689
HMDB0000691,HMDB00691
HMDB0000692,HMDB00692
HMDB0000693,HMDB00693
HMDB0000694,HMDB00694
HMDB0000695,HMDB0000762
HMDB0000696,HMDB00696
HMDB0000697,HMDB00697
HMDB0000698,HMDB0002474
HMDB0000699,HMDB00699
HMDB0000700,HMDB00700
HMDB0000701,HMDB00701
HMDB0000703,HMDB00703
HMDB0000704,HMDB00704
HMDB0000706,HMDB0006113
HMDB0000707,HMDB00707
HMDB0000708,HMDB00708
HMDB0000709,HMDB00709
HMDB0000710,HMDB0015507
HMDB0000711,HMDB00711
HMDB0000712,HMDB00712
HMDB0000713,HMDB00713
HMDB0000714,HMDB0062583
HMDB0000715,HMDB00715
HMDB0000716,HMDB00716
HMDB0000717,HMDB00717
HMDB0000718,HMDB00718
HMDB0000719,HMDB00719
HMDB0000720,HMDB00720
HMDB0000721,HMDB00721
HMDB0000722,HMDB00722
HMDB0000725,HMDB0006055
HMDB0000726,HMDB00726
HMDB0000727,HMDB00727
HMDB0000728,HMDB00728
HMDB0000729,HMDB00729
HMDB0000730,HMDB00730
HMDB0000731,HMDB00731
HMDB0000732,HMDB0001152
HMDB0000733,HMDB00733
HMDB0000734,HMDB00734
HMDB0000735,HMDB00735
HMDB0000736,HMDB0002083
HMDB0000737,HMDB00737
HMDB0000738,HMDB00738
HMDB0000739,HMDB00739
HMDB0000740,HMDB0014719
HMDB0000742,HMDB0000165
HMDB0000743,HMDB00743
HMDB0000745,HMDB00745
HMDB0000746,HMDB00746
HMDB0000747,HMDB00747
HMDB0000748,HMDB0000475
HMDB0000749,HMDB00749
HMDB0000750,HMDB00750
HMDB0000751,HMDB0002245
HMDB0000752,HMDB00752
HMDB0000753,HMDB00753
HMDB0000754,HMDB00754
HMDB0000755,HMDB00755
HMDB0000756,HMDB0000705
HMDB0000757,HMDB00757
HMDB0000759,HMDB00759
HMDB0000760,HMDB00760
HMDB0000761,HMDB00761
HMDB0000763,HMDB00763
HMDB0000764,HMDB00764
HMDB0000765,HMDB0001363
HMDB0000766,HMDB00766
HMDB0000767,HMDB0006075
HMDB0000768,HMDB00768
HMDB0000770,HMDB00770
HMDB0000772,HMDB00772
HMDB0000773,HMDB00773
HMDB0000774,HMDB00774
HMDB0000779,HMDB00779
HMDB0000780,HMDB00780
HMDB0000781,HMDB00781
HMDB0000782,HMDB00782
HMDB0000783,HMDB00783
HMDB0000784,HMDB00784
HMDB0000785,HMDB00785
HMDB0000786,HMDB00786
HMDB0000788,HMDB00788
HMDB0000789,HMDB00789
HMDB0000791,HMDB0000834
HMDB0000792,HMDB00792
HMDB0000793,HMDB00793
HMDB0000794,HMDB00794
HMDB0000795,HMDB00795
HMDB0000796,HMDB00796
HMDB0000797,HMDB0006274
HMDB0000798,HMDB00798
HMDB0000801,HMDB00801
HMDB0000802,HMDB00802
HMDB0000803,HMDB00803
HMDB0000806,HMDB00806
HMDB0000807,HMDB00807
HMDB0000808,HMDB00808
HMDB0000809,HMDB00809
HMDB0000810,HMDB00810
HMDB0000811,HMDB00811
HMDB0000812,HMDB00812
HMDB0000814,HMDB00814
HMDB0000815,HMDB00815
HMDB0000816,HMDB0060148
HMDB0000817,HMDB00817
HMDB0000819,HMDB00819
HMDB0000820,HMDB00820
HMDB0000821,HMDB00821
HMDB0000822,HMDB00822
HMDB0000824,HMDB0062514
HMDB0000825,HMDB0006626
HMDB0000826,HMDB00826
HMDB0000827,HMDB00827
HMDB0000828,HMDB00828
HMDB0000830,HMDB00830
HMDB0000832,HMDB00832
HMDB0000833,HMDB00833
HMDB0000839,HMDB00839
HMDB0000840,HMDB00840
HMDB0000842,HMDB00842
HMDB0000843,HMDB00843
HMDB0000845,HMDB0000838
HMDB0000847,HMDB00847
HMDB0000848,HMDB0062532
HMDB0000849,HMDB00849
HMDB0000851,HMDB00851
HMDB0000852,HMDB00852
HMDB0000853,HMDB00853
HMDB0000854,HMDB00854
HMDB0000855,HMDB00855
HMDB0000856,HMDB00856
HMDB0000857,HMDB00857
HMDB0000858,HMDB00858
HMDB0000859,HMDB00859
HMDB0000860,HMDB00860
HMDB0000863,HMDB00863
HMDB0000865,HMDB00865
HMDB0000866,HMDB00866
HMDB0000867,HMDB00867
HMDB0000868,HMDB0006212
HMDB0000869,HMDB00869
HMDB0000870,HMDB0060263
HMDB0000872,HMDB00872
HMDB0000873,HMDB00873
HMDB0000874,HMDB00874
HMDB0000875,HMDB00875
HMDB0000876,HMDB0014315
HMDB0000877,HMDB00877
HMDB0000878,HMDB00878
HMDB0000879,HMDB00879
HMDB0000881,HMDB00881
HMDB0000883,HMDB0034366
HMDB0000884,HMDB00884
HMDB0000885,HMDB0005188
HMDB0000887,HMDB00887
HMDB0000888,HMDB00888
HMDB0000889,HMDB00889
HMDB0000890,HMDB00890
HMDB0000892,HMDB00892
HMDB0000893,HMDB0000837
HMDB0000894,HMDB0006723
HMDB0000895,HMDB00895
HMDB0000896,HMDB0004011
HMDB0000897,HMDB00897
HMDB0000898,HMDB0000976
HMDB0000899,HMDB0011608
HMDB0000900,HMDB00900
HMDB0000901,HMDB00901
HMDB0000902,HMDB00902
HMDB0000903,HMDB00903
HMDB0000904,HMDB00904
HMDB0000905,HMDB00905
HMDB0000906,HMDB00906
HMDB0000907,HMDB00907
HMDB0000908,HMDB00908
HMDB0000909,HMDB00909
HMDB0000910,HMDB00910
HMDB0000912,HMDB00912
HMDB0000913,HMDB00913
HMDB0000916,HMDB00916
HMDB0000917,HMDB00917
HMDB0000918,HMDB0005191
HMDB0000920,HMDB00920
HMDB0000921,HMDB00921
HMDB0000922,HMDB00922
HMDB0000925,HMDB00925
HMDB0000926,HMDB00926
HMDB0000927,HMDB00927
HMDB0000929,HMDB00929
HMDB0000930,HMDB00930
HMDB0000932,HMDB00932
HMDB0000933,HMDB00933
HMDB0000934,HMDB00934
HMDB0000935,HMDB0001384
HMDB0000936,HMDB00936
HMDB0000937,HMDB00937
HMDB0000939,HMDB00939
HMDB0000940,HMDB00940
HMDB0000941,HMDB00941
HMDB0000942,HMDB00942
HMDB0000943,HMDB0062620
HMDB0000944,HMDB00944
HMDB0000946,HMDB0015525
HMDB0000949,HMDB00949
HMDB0000950,HMDB0011776
HMDB0000951,HMDB00951
HMDB0000953,HMDB00953
HMDB0000954,HMDB0000537
HMDB0000955,HMDB00955
HMDB0000956,HMDB0059916
HMDB0000957,HMDB00957
HMDB0000958,HMDB00958
HMDB0000959,HMDB00959
HMDB0000960,HMDB00960
HMDB0000961,HMDB0004201
HMDB0000962,HMDB0006877
HMDB0000963,HMDB00963
HMDB0000965,HMDB00965
HMDB0000968,HMDB0062568
HMDB0000969,HMDB00969
HMDB0000972,HMDB00972
HMDB0000975,HMDB00975
HMDB0000977,HMDB00977
HMDB0000978,HMDB00978
HMDB0000980,HMDB0001144
HMDB0000981,HMDB00981
HMDB0000982,HMDB00982
HMDB0000985,HMDB0006948
HMDB0000988,HMDB00988
HMDB0000990,HMDB00990
HMDB0000991,HMDB00991
HMDB0000992,HMDB00992
HMDB0000994,HMDB00994
HMDB0000995,HMDB00995
HMDB0000996,HMDB0060179
HMDB0000998,HMDB00998
HMDB0000999,HMDB00999
HMDB0001000,HMDB01000
HMDB0001003,HMDB01003
HMDB0001004,HMDB01004
HMDB0001005,HMDB01005
HMDB0001007,HMDB01007
HMDB0001008,HMDB0002309
HMDB0001009,HMDB01009
HMDB0001010,HMDB01010
HMDB0001011,HMDB01011
HMDB0001013,HMDB01013
HMDB0001014,HMDB01014
HMDB0001015,HMDB01015
HMDB0001016,HMDB0062700
HMDB0001018,HMDB01018
HMDB0001020,HMDB01020
HMDB0001021,HMDB01021
HMDB0001022,HMDB01022
HMDB0001023,HMDB0006924
HMDB0001024,HMDB0060175
HMDB0001028,HMDB01028
HMDB0001030,HMDB01030
HMDB0001031,HMDB01031
HMDB0001032,HMDB01032
HMDB0001035,HMDB01035
HMDB0001036,HMDB01036
HMDB0001038,HMDB01038
HMDB0001039,HMDB01039
HMDB0001041,HMDB0002021
HMDB0001043,HMDB0060102
HMDB0001044,HMDB01044
HMDB0001045,HMDB01045
HMDB0001046,HMDB01046
HMDB0001047,HMDB01047
HMDB0001049,HMDB0029146
HMDB0001050,HMDB01050
HMDB0001051,HMDB01051
HMDB0001052,HMDB01052
HMDB0001054,HMDB01054
HMDB0001056,HMDB01056
HMDB0001057,HMDB01057
HMDB0001058,HMDB0003973
HMDB0001059,HMDB01059
HMDB0001060,HMDB01060
HMDB0001061,HMDB01061
HMDB0001062,HMDB01062
HMDB0001063,HMDB01063
HMDB0001064,HMDB0060170
HMDB0001065,HMDB01065
HMDB0001066,HMDB01066
HMDB0001067,HMDB01067
HMDB0001068,HMDB0062754
HMDB0001069,HMDB01069
HMDB0001070,HMDB0006257
HMDB0001072,HMDB01072
HMDB0001076,HMDB0062538
HMDB0001078,HMDB01078
HMDB0001080,HMDB0060247
HMDB0001081,HMDB0002049
HMDB0001083,HMDB01083
HMDB0001084,HMDB0062778
HMDB0001085,HMDB0005072
HMDB0001086,HMDB01086
HMDB0001087,HMDB01087
HMDB0001088,HMDB01088
HMDB0001090,HMDB01090
HMDB0001091,HMDB01091
HMDB0001093,HMDB01093
HMDB0001094,HMDB01094
HMDB0001095,HMDB0062554
HMDB0001096,HMDB01096
HMDB0001097,HMDB01097
HMDB0001101,HMDB01101
HMDB0001104,HMDB0011755
HMDB0001106,HMDB01106
HMDB0001107,HMDB01107
HMDB0001109,HMDB01109
HMDB0001112,HMDB01112
HMDB0001113,HMDB01113
HMDB0001114,HMDB01114
HMDB0001117,HMDB0062257
HMDB0001119,HMDB01119
HMDB0001120,HMDB0002101
HMDB0001121,HMDB01121
HMDB0001123,HMDB01123
HMDB0001124,HMDB01124
HMDB0001125,HMDB0011748
HMDB0001126,HMDB01126
HMDB0001127,HMDB01127
HMDB0001128,HMDB0002347
HMDB0001129,HMDB0062724
HMDB0001131,HMDB01131
HMDB0001132,HMDB0059646
HMDB0001134,HMDB01134
HMDB0001137,HMDB01137
HMDB0001138,HMDB01138
HMDB0001139,HMDB01139
HMDB0001140,HMDB01140
HMDB0001142,HMDB01142
HMDB0001143,HMDB01143
HMDB0001147,HMDB01147
HMDB0001149,HMDB01149
HMDB0001151,HMDB01151
HMDB0001155,HMDB0001435
HMDB0001157,HMDB01157
HMDB0001160,HMDB01160
HMDB0001161,HMDB0006831
HMDB0001162,HMDB01162
HMDB0001163,HMDB0062759
HMDB0001164,HMDB01164
HMDB0001165,HMDB01165
HMDB0001166,HMDB0002383
HMDB0001167,HMDB01167
HMDB0001168,HMDB01168
HMDB0001169,HMDB01169
HMDB0001170,HMDB01170
HMDB0001172,HMDB01172
HMDB0001173,HMDB01173
HMDB0001175,HMDB01175
HMDB0001176,HMDB0001040
HMDB0001177,HMDB0001012
HMDB0001178,HMDB01178
HMDB0001179,HMDB01179
HMDB0001180,HMDB01180
HMDB0001181,HMDB01181
HMDB0001182,HMDB01182
HMDB0001183,HMDB01183
HMDB0001184,HMDB01184
HMDB0001185,HMDB0062709
HMDB0001186,HMDB01186
HMDB0001187,HMDB01187
HMDB0001188,HMDB0059621
HMDB0001189,HMDB01189
HMDB0001190,HMDB01190
HMDB0001191,HMDB01191
HMDB0001192,HMDB01192
HMDB0001193,HMDB01193
HMDB0001195,HMDB01195
HMDB0001196,HMDB01196
HMDB0001197,HMDB0006252
HMDB0001198,HMDB0006015
HMDB0001199,HMDB01199
HMDB0001200,HMDB01200
HMDB0001201,HMDB01201
HMDB0001202,HMDB01202
HMDB0001203,HMDB01203
HMDB0001204,HMDB01204
HMDB0001206,HMDB01206
HMDB0001209,HMDB01209
