good_HMDB_id,legacy_HMDB_id
HMDB0000001,HMDB00001
HMDB0000002,HMDB00002
HMDB0000005,HMDB00005
HMDB0000008,HMDB00008
HMDB0000010,HMDB00010
HMDB0000011,HMDB0000357
HMDB0000012,HMDB00012
HMDB0000014,HMDB00014
HMDB0000015,HMDB00015
HMDB0000016,HMDB00016
HMDB0000017,HMDB00017
HMDB0000019,HMDB00019
HMDB0000020,HMDB00020
HMDB0000021,HMDB00021
HMDB0000022,HMDB00022
HMDB0000023,HMDB0000435
HMDB0000024,HMDB00024
HMDB0000026,HMDB00026
HMDB0000027,HMDB0000787
HMDB0000030,HMDB00030
HMDB0000031,HMDB00031
HMDB0000032,HMDB00032
HMDB0000033,HMDB00033
HMDB0000034,HMDB00034
HMDB0000036,HMDB00036
HMDB0000037,HMDB00037
HMDB0000038,HMDB00038
HMDB0000039,HMDB00039
HMDB0000042,HMDB00042
HMDB0000043,HMDB00043
HMDB0000044,HMDB00044
HMDB0000045,HMDB00045
HMDB0000048,HMDB00048
HMDB0000050,HMDB0004401
HMDB0000051,HMDB00051
HMDB0000052,HMDB0001006
HMDB0000053,HMDB00053
HMDB0000054,HMDB00054
HMDB0000055,HMDB00055
HMDB0000056,HMDB00056
HMDB0000058,HMDB00058
HMDB0000060,HMDB00060
HMDB0000061,HMDB0001468
HMDB0000062,HMDB0001467
HMDB0000063,HMDB00063
HMDB0000064,HMDB00064
HMDB0000067,HMDB0000507
HMDB0000068,HMDB0000615
HMDB0000070,HMDB00070
HMDB0000071,HMDB00071
HMDB0000072,HMDB0000461
HMDB0000073,HMDB00073
HMDB0000076,HMDB00076
HMDB0000077,HMDB00077
HMDB0000078,HMDB00078
HMDB0000079,HMDB00079
HMDB0000082,HMDB00082
HMDB0000085,HMDB00085
HMDB0000086,HMDB0000049
HMDB0000087,HMDB00087
HMDB0000089,HMDB00089
HMDB0000092,HMDB00092
HMDB0000094,HMDB00094
HMDB0000095,HMDB00095
HMDB0000097,HMDB00097
HMDB0000098,HMDB0003763
HMDB0000099,HMDB0003614
HMDB0000101,HMDB0005778
HMDB0000107,HMDB00107
HMDB0000108,HMDB00108
HMDB0000112,HMDB00112
HMDB0000114,HMDB00114
HMDB0000115,HMDB0003035
HMDB0000118,HMDB0004285
HMDB0000119,HMDB00119
HMDB0000121,HMDB00121
HMDB0000122,HMDB0000516
HMDB0000123,HMDB00123
HMDB0000124,HMDB00124
HMDB0000125,HMDB0001463
HMDB0000126,HMDB0002722
HMDB0000127,HMDB00127
HMDB0000128,HMDB00128
HMDB0000130,HMDB00130
HMDB0000131,HMDB00131
HMDB0000132,HMDB00132
HMDB0000133,HMDB00133
HMDB0000134,HMDB00134
HMDB0000139,HMDB00139
HMDB0000142,HMDB00142
HMDB0000143,HMDB0005762
HMDB0000145,HMDB0004449
HMDB0000148,HMDB00148
HMDB0000149,HMDB00149
HMDB0000150,HMDB00150
HMDB0000151,HMDB0004481
HMDB0000152,HMDB00152
HMDB0000153,HMDB00153
HMDB0000156,HMDB0000744
HMDB0000157,HMDB00157
HMDB0000158,HMDB0000647
HMDB0000159,HMDB0000612
HMDB0000161,HMDB00161
HMDB0000162,HMDB00162
HMDB0000163,HMDB00163
HMDB0000164,HMDB0002983
HMDB0000167,HMDB00167
HMDB0000168,HMDB00168
HMDB0000169,HMDB00169
HMDB0000172,HMDB00172
HMDB0000174,HMDB00174
HMDB0000175,HMDB00175
HMDB0000176,HMDB00176
HMDB0000177,HMDB0003412
HMDB0000181,HMDB00181
HMDB0000182,HMDB00182
HMDB0000186,HMDB0005761
HMDB0000187,HMDB0000589
HMDB0000189,HMDB00189
HMDB0000190,HMDB0003328
HMDB0000191,HMDB00191
HMDB0000192,HMDB00192
HMDB0000193,HMDB00193
HMDB0000194,HMDB00194
HMDB0000195,HMDB00195
HMDB0000197,HMDB00197
HMDB0000201,HMDB0000456
HMDB0000202,HMDB00202
HMDB0000205,HMDB0001237
HMDB0000206,HMDB00206
HMDB0000207,HMDB0002066
HMDB0000208,HMDB0002812
HMDB0000209,HMDB0001326
HMDB0000210,HMDB00210
HMDB0000212,HMDB0000835
HMDB0000213,HMDB00213
HMDB0000214,HMDB0000818
HMDB0000215,HMDB0000533
HMDB0000216,HMDB00216
HMDB0000217,HMDB00217
HMDB0000218,HMDB00218
HMDB0000220,HMDB00220
HMDB0000221,HMDB0000799
HMDB0000222,HMDB0000846
HMDB0000223,HMDB00223
HMDB0000224,HMDB0012279
HMDB0000225,HMDB00225
HMDB0000226,HMDB00226
HMDB0000227,HMDB00227
HMDB0000228,HMDB00228
HMDB0000229,HMDB00229
HMDB0000230,HMDB0000800
HMDB0000232,HMDB00232
HMDB0000234,HMDB00234
HMDB0000235,HMDB00235
HMDB0000237,HMDB00237
HMDB0000238,HMDB00238
HMDB0000239,HMDB0002075
HMDB0000240,HMDB0001033
HMDB0000241,HMDB00241
HMDB0000243,HMDB00243
HMDB0000244,HMDB00244
HMDB0000245,HMDB00245
HMDB0000246,HMDB00246
HMDB0000247,HMDB00247
HMDB0000248,HMDB0001918
HMDB0000250,HMDB00250
HMDB0000251,HMDB00251
HMDB0000252,HMDB00252
HMDB0000253,HMDB00253
HMDB0000254,HMDB00254
HMDB0000256,HMDB00256
HMDB0000257,HMDB00257
HMDB0000258,HMDB00258
HMDB0000259,HMDB00259
HMDB0000262,HMDB00262
HMDB0000263,HMDB00263
HMDB0000265,HMDB0006780
HMDB0000267,HMDB0000805
HMDB0000268,HMDB00268
HMDB0000269,HMDB00269
HMDB0000271,HMDB00271
HMDB0000272,HMDB00272
HMDB0000273,HMDB00273
HMDB0000277,HMDB00277
HMDB0000279,HMDB00279
HMDB0000280,HMDB00280
